義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,刁持,故意、存心。,,刁意故,故意、存心。
,刁持,特地、特意。,,刁工,專程、特地。
,刁持,特地、特意。,,專工,特地、專程。
,刁故意,存心、故意。,,刁工,故意。
,刁故意,存心、故意。,,刁持,故意、存心。
,刁故意,存心、故意。,,刁意故,故意、存心。
,刁故意,存心、故意。,,存心,心懷某種意念、居心。
,八珍,三八。形容人的言行不莊重。,,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
,八珍,三八。形容人的言行不莊重。,,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
,人員,人數。,,跤手,人手。提供幫助的人力。
,七娘媽生,農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。,,七夕,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。
,人家厝仔,民宅。,,徛家,住家。
,人家厝仔,民宅。,,徛家厝,民宅、住家。
,人氣,人緣、人望。源自日語「人気（にんき）」。,,人望,眾人矚目。
,人氣,人緣、人望。源自日語「人気（にんき）」。,,人緣,與人相處時，其相貌、個性、舉止受人歡迎的狀況。
,刀砧,砧板。切割魚肉或蔬果時所墊的板子。,,肉砧,專供烹飪，切割肉類的砧板。也引申作遭受凌辱、欺負的對象。
,刀砧,砧板。切割魚肉或蔬果時所墊的板子。,,菜砧,砧板。以刀切食材時，墊在下面的板子。
,入院,住院。因為生病住進醫院就醫。,,蹛院,住院。
,人參,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。,,高麗,高麗參。根莖類。為人參的一種。因為產於朝鮮半島，所以才有此名。
,人參,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。,,高麗參,朝鮮半島上所生產的人參。
,人參,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。,,參仔,人參。根莖類。多年生宿根草本植物。主根較為肥大，而且形狀像人形，所以叫「人參」。葉與根皆可入藥，在中藥裡是高級的滋補藥材。
,人望,眾人矚目。,,人氣,人緣、人望。源自日語「人気（にんき）」。
,力量,力氣、能力。,,力頭,力氣、力道。
,力量,力氣、能力。,,氣力,力氣、力量。
,力量,力氣、能力。,,力草,力氣體力。
,刁意故,故意、存心。,,刁工,故意。
,刁意故,故意、存心。,,刁持,故意、存心。
,刁意故,故意、存心。,,刁故意,存心、故意。
,刁意故,故意、存心。,,存心,心懷某種意念、居心。
,七爺,神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。,,躼跤蠓,高個子。稱身材高的人。
,刀銎,刀背。指刀無刃的一邊。,,銎,刀背。
,人影,人的影子，也可以用來指人。,,影跡,形跡、蹤跡。
,人緣,與人相處時，其相貌、個性、舉止受人歡迎的狀況。,,人氣,人緣、人望。源自日語「人気（にんき）」。
,了錢,賠錢、虧本。,,倒貼,虧本、賠本。
,了錢,賠錢、虧本。,,貼本,賠本、蝕本。虧損資金本錢。
,了錢,賠錢、虧本。,,塌本,倒貼、虧本、賠本。未得到應得的利益，反而還要出錢。
,了錢,賠錢、虧本。,,賠錢,賠償金錢。
,力頭,力氣、力道。,,力量,力氣、能力。
,力頭,力氣、力道。,,氣力,力氣、力量。
,力頭,力氣、力道。,,力草,力氣體力。
,入殮,將亡者的遺體放入棺木中。,,入木,入殮。把死者放進棺木中。
,刁難,故意為難。,,刁,刁難、為難。
,刁難,故意為難。,,刁古董,刻意作弄、為難別人。
,刁難,故意為難。,,欹,刻意刁難或為難人家。
,下,放置、加進去。,,囥,放入。
,下,放置、加進去。,,摻,加入、混合。
,丸,又小又圓的物體。,,丸仔,丸子。團狀、丸狀的東西或食品。
,久,指時間的長久、長遠。,,長,形容時間的久遠。
,么,最小的數字，「一」的另一種稱呼。,,一,數字。
,也,亦。表示相同關係。,,嘛,也 。
,子,計算香蕉的單位，等同於「根」。,,莢,計算香蕉或豆莢類植物果實的單位。
,山,地形隆起的部分。,,山嶺,山脈。連綿的高山。
,工,計算天數的單位。,,日,計算天數的單位。
,巾,可擦拭、披用、包蓋的方型或長方型的布，都可以說是巾。,,巾仔,布巾類的總稱。
,才,能力、才智、本事。,,材,資質、能力。指內在或外貌。
,才,再。表示接續在另一動作之後。,,才閣,再。用於句中不同階段動作的連接用詞。
,下𦜆,下巴、下顎。,,下頦,下巴。臉部嘴脣以下的部位。
,下𦜆,下巴、下顎。,,下顎,下巴。一般稱「下巴」為「下頦」(ē-hâi)，「下顎」多在面相當中使用。
,下𦜆,下巴、下顎。,,喙下斗,下巴、下顎。
,丈人,岳父。稱謂。男子稱妻子的父親。,,丈人爸,岳父。稱謂，男性稱呼妻子的父親。
,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,八珍,三八。形容人的言行不莊重。
,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
,大人,成年人。,,成人,成年人。
,大力,形容很用力，或者出重力。,,大下,指很用力。
,工人,工人。靠勞力工作，以換取工資的人。,,工仔,工人。靠勞力工作，以換取工資的人。
,丈人爸,岳父。稱謂，男性稱呼妻子的父親。,,丈人,岳父。稱謂。男子稱妻子的父親。
,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,八珍,三八。形容人的言行不莊重。
,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。,,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
,上山,登山、爬山。,,𬦰山,爬山、登山。
,大下,指很用力。,,大力,形容很用力，或者出重力。
,小口,飯量少、食量小。,,小食,食量小的。
,小工,指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。,,工仔,工人。靠勞力工作，以換取工資的人。
,大丈夫,有志氣而且勇敢剛毅的男子。,,好漢,男子漢。勇敢、有志氣、有擔當的男子。
,大丈夫,有志氣而且勇敢剛毅的男子。,,男子漢,有大丈夫氣概的男子。
,大丈夫,有志氣而且勇敢剛毅的男子。,,查埔囝,男子漢。有大丈夫氣概的人。
,干干仔,偏偏。,,偏偏,故意、唱反調。
,干干仔,偏偏。,,干仔,偏偏。表示故意違反別人的要求。
,上元,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,,上元暝,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
,上元,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,,元宵,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
,下勻,後輩、晚輩。,,下輩,晚輩、後輩。子姪輩或是輩分較低的人。
,下勻,後輩、晚輩。,,序細,晚輩、後輩。
,大不了,頂多、充其量。至多也不過如此。,,上加,最多、頂多。
,大不了,頂多、充其量。至多也不過如此。,,極加,最多、頂多。用來說明數量上、程度上等頂多如何。
,土公仔性,形容人的個性粗魯，就像墓穴工一樣。,,土性,形容人的個性較粗魯、率直。
,上元暝,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,,上元,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
,上元暝,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。,,元宵,元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。
,上午,清晨到中午之間。,,早起,早上、早晨。
,上午,清晨到中午之間。,,頂晡,早上、上午。
,上天,上蒼。對具有無窮力量的天或是天上神明的總稱。,,天公,天老爺、老天爺。
,上天,上蒼。對具有無窮力量的天或是天上神明的總稱。,,天公祖,老天爺。
,上天,上蒼。對具有無窮力量的天或是天上神明的總稱。,,天公伯仔,天老爺、老天爺。
,上手,對技術或工作已掌握熟練，駕馭自如。,,上腳,技藝已經上手，能勝任在該舞臺或職場上的角色，也形容人經鍛鍊後有所成就，或地位、勢力已達到一定的程度。
,上手,對技術或工作已掌握熟練，駕馭自如。,,貫串,擅長、精通。
,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,,下晝,下午。
,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,,下晡,下午。
,下午,中午過後的時間，指中午十二點到黃昏前的一段時間。,,過晝,過午。中午、午餐時間過後。
,下手,動手去做。,,動手,著手。開始進行。
,下手,動手去做。,,落手,下手、著手。動手去做某件事。
,下水,內臟。雞、鴨等禽類動物的內臟。,,雞腹內,雞內臟、雞雜。
,大方,慷慨不小氣。,,冇手,大方、慷慨。
,大方,舉止得體合宜、不矯飾，有大家風範。,,大範,一個人的舉止十分大方、自然，不受拘束。
,大日,吉日。指適合婚喪嫁娶的好日子。,,吉日,好日子。
,大日,吉日。指適合婚喪嫁娶的好日子。,,好日,好日子、吉日 。
,大日,烈日。,,大日虎,烈日。
,寸尺,尺寸、法度。,,大細,大小。指一般事物的尺寸大小。
,小心,注意、留意。,,注意,小心、留意。
,小心,注意、留意。,,細膩,做事小心謹慎。
,小心,注意、留意。,,斟酌,形容做事小心謹慎。
,小心,注意、留意。,,謹慎,對自己的言行或外界事務格外小心仔細，以避免有不利或不幸的事情發生。
,工夫,做工精密細膩。,,夠工,周到。做事情下了很多功夫，面面俱到，沒有疏漏。
,工夫,技術、本領、造詣。,,工藝,工作、技術、技藝。
,大心氣,呼吸急促，喘不過氣來。,,怦怦喘,喘得很厲害。
,大心氣,呼吸急促，喘不過氣來。,,喘大氣,劇烈而急促的呼吸動作。
,千斤秤,千斤頂、起重機。利用螺旋、齒輪或油壓作用，將重物作小幅度抬高的機械裝置。常用於安裝或修理機器、汽車時使用。,,鐵人,千斤頂。
,丸仔,丸子。團狀、丸狀的東西或食品。,,丸,又小又圓的物體。
,大兄,大哥、長兄。,,大哥,稱謂。兄弟中排行最大的、最年長的。
,大兄,大哥、長兄。,,兄哥,哥哥。稱謂。對兄長的稱呼。
,大兄,大哥、長兄。,,阿兄,哥哥。稱謂。同父母所生而年紀比自己大的男性。
,工仔,工人。靠勞力工作，以換取工資的人。,,工人,工人。靠勞力工作，以換取工資的人。
,工仔,工人。靠勞力工作，以換取工資的人。,,小工,指一般打零工的人，因其工作性質、內容均不定，有時亦為副手，故稱為小工。
,巾仔,布巾類的總稱。,,巾,可擦拭、披用、包蓋的方型或長方型的布，都可以說是巾。
,大主大意,擅作主張。指不聽從、不遵守上級或長輩的指示，擅自做決定。,,自作自專,擅作主張、獨斷獨行。指不聽從、不遵守上級或長輩的指示，擅自做決定。
,上加,最多、頂多。,,大不了,頂多、充其量。至多也不過如此。
,上加,最多、頂多。,,上濟,至多、頂多。指在最壞的情況下。
,上加,最多、頂多。,,極加,最多、頂多。用來說明數量上、程度上等頂多如何。
,下司,下屬、手下。,,下跤手人,手下、下屬。從事打雜工作的部屬。
,下司,下屬、手下。,,手下,部下、部屬。
,下司,下屬、手下。,,部下,部屬、屬下。軍隊或團體裡被統率的人。
,小可仔,稍微、些微、少許。,,分分仔,一點兒。
,大四界,到處、每個地方。,,一四界,遍地、到處。
,大四界,到處、每個地方。,,滿四界,處處、遍地。到處都是。
,下本,投入本錢。,,投資,以資本、財物或勞務，直接或間接投入企業 ，以獲得利益的行為。
,下本,投入本錢。,,填本,下本錢、投注本錢，用於不斷投入、沒有盡頭的情況。
,下本,投入本錢。,,落本,下本錢。投注資金。
,大本,大本錢、很多本錢。,,粗本,資本雄厚。
,大囝,長子、大兒子。稱謂。對長子的稱呼。,,長男,長子。排行最大的兒子。
,大囝,長子、大兒子。稱謂。對長子的稱呼。,,大漢囝,長子、長男。
,小名,乳名、外號。非正式的名字。,,乳名,小名、奶名。
,小名,乳名、外號。非正式的名字。,,偏名,綽號、小名。非正式的名字。
,下早仔,早上。,,早起時仔,早上。
,下早仔,早上。,,早起,早上、早晨。
,大舌,口吃。講話結結巴巴、不清不楚。,,咬舌,說話不流暢，發音不清楚。
,工作,作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。,,工課,工作、事情。
,工作,作事、職業。為賺取生活所需的金錢或物質，所從事的腦力或體力的活動。,,頭路,職業、工作。
,山尾溜,山頂。,,山頂,山的最高點。
,山尾溜,山頂。,,山頭,山頂。
,山尾溜,山頂。,,山尖,山嶺的頂點。
,三更,子時、中夜。指夜間十一時至隔天凌晨一時。,,三更半暝,三更半夜；深夜。
,三更半暝,三更半夜；深夜。,,三更,子時、中夜。指夜間十一時至隔天凌晨一時。
,三更半暝,三更半夜；深夜。,,半暝,半夜、深夜。
,口灶,戶、住戶。計算家庭的單位。,,家口,家庭、家族。
,小肚,膀胱。泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。,,尿帕仔,膀胱。
,小肚,膀胱。泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。,,膀胱,泌尿系統中儲存尿液的器官。為肌肉與膜質形成的囊，呈卵圓形，位在骨盤腔的前方和腹腔的下方。又作「小肚」(sió-tōo)。
,山谷,山溝。兩山之間低窪且狹窄的地方。,,山溝,山澗、山谷。
,千里鏡,望遠鏡。用來觀察天體或者是遠處物體的儀器。,,召鏡,望遠鏡。指用來觀察天體或遠處物體的儀器。
,久來,久而久之。,,年久月深,久而久之、日積月累、經年累月。經歷過一段長久的時間。
,小使,小弟、跑腿的。供人差遣的人。,,卒仔,指小人物、無足輕重的人。
,小使,小弟、跑腿的。供人差遣的人。,,小使仔,小弟、跑腿的、供人差遣的僕役。
,工事,工程。源自日語「工事（こうじ）」。,,工程,有關製造、建築、開礦、發電、興修水利等，有一定計畫的工作進程。
,女兒,稱謂。父母親稱自己的女兒，此音讀通常出現在戲劇中。,,查某囝,女兒。
,小叔,稱謂。稱呼丈夫的弟弟。,,阿叔仔,小叔。稱謂。稱呼丈夫的弟弟。
,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。,,崎仔,小山坡。
,丈姆,丈母娘、岳母。稱謂。男子稱妻子的母親。,,丈姆婆,丈母娘、岳母。稱謂。男子稱妻子的母親。
,大姊,稱謂。用來稱呼姊妹之中年紀最大的。,,阿姊,姊姊。稱謂。同父母所生而比自己年紀大的女性。
,大姑,稱謂。稱呼丈夫的姊姊。,,阿姑,姑姑、姑媽。稱謂。爸爸的姊妹。如果是「大娘姑」、「小姑仔」是指丈夫的姊妹。
,小姐,姑娘。稱呼未婚的年輕女子。,,小姐,姑娘。稱呼未婚的年輕女子。
,小姐,姑娘。稱呼未婚的年輕女子。,,姑娘,稱呼未出嫁的女子。
,小姑,稱謂。女子稱呼丈夫的妹妹。,,細姑仔,稱謂。女子稱呼丈夫的妹妹。
,丈姆婆,丈母娘、岳母。稱謂。男子稱妻子的母親。,,丈姆,丈母娘、岳母。稱謂。男子稱妻子的母親。
,下底,下面、底下。與「頂面」(tíng-bīn)相對。,,下跤,下面、底下。
,土性,形容人的個性較粗魯、率直。,,土公仔性,形容人的個性粗魯，就像墓穴工一樣。
,下性命,拚命。豁出性命，全力以赴。,,拚命,竭力、賣力。
,下昏,晚上。,,暝時,夜晚。夜裡，晚上。
,下昏暗,今晚、今天晚上。,,下暗,晚上、今晚。
,乞的,養子女。,,分的,收養的小孩。
,乞的,養子女。,,抱的,養子女。抱養的子女，不是親生的子女。
,乞的,養子女。,,養的,對養子女的泛稱。
,土直,形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。,,直腸直肚,直腸子。形容人有話直說，沒有遮掩，性情直爽。
,土直,形容一個人個性率真、剛直，不會深思熟慮，不會拐彎抹角。,,白直,形容人不識相又不知變通。
,三肢手,扒手、三隻手。專門在公共場所偷取人家財物的小偷。,,剪綹仔,扒手、三隻手。專門在公共場所偷取人家財物的小偷。
,大便,排泄糞便。,,放屎,大便。排泄糞便。
,大姨,稱謂。母親的大姊。,,姨,稱謂。子女稱呼母親的姊妹叫做「姨」，一般稱「阿姨」。
,上帝,傳說中創造萬物的神祇。,,上帝公,玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。
,上帝公,玄天上帝、北極玄天上帝。又稱玄武文帝，腳踏龜蛇，右手執劍，左手印訣，民間俗傳玄天上帝生前以殺豬、販賣豬肉維生，後來放下屠刀，立地成佛。,,上帝,傳說中創造萬物的神祇。
,大後日,大後天。,,落後日,大後天。
,大後年,後年之後的第一年。,,落後年,大後年。後年之後的第一年。
,山後鳥,灰面鵟鷹、灰面鷲。禽鳥類。每年十月初至十月底從北半球南下至東南亞一帶渡冬，於臺灣過境期間，可在恆春滿州里附近觀賞。到來年三月底至四月中旬又北返，在彰化八卦山或臺北觀音山地區可看見；因為是由南路而來，又稱為「南路鷹」。,,南路鷹,灰面鵟鷹、灰面鷲。禽鳥類。每年十月初至十月底從北半球南下至東南亞一帶渡冬，於臺灣過境期間，可在恆春滿州里附近觀賞。到來年三月底至四月中旬又北返，在彰化八卦山或臺北觀音山地區可看見；因為是由南路而來，所以稱為「南路鷹」。
,也是,還是、也是。,,猶是,還是。
,也是,也是。,,嘛是,也是。
,大昨日,大前天。,,落昨日,大前天。前天的前一日。
,三牲,本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。,,牲醴,牲畜宰殺潔淨之後的祭品。
,山珍海味,山中和海中所生產的各式各樣的珍貴食品。,,魚魚肉肉,大魚大肉。指主要以魚、肉為主的菜餚。
,口面,外面。外頭、外部。,,外口,外面。外頭、外邊。
,口面,外面。外頭、外部。,,外面,外面、外頭、外邊。
,口音,各地方所特有的說話方式及腔調。,,腔,口音、說話的聲調和語氣。
,口音,各地方所特有的說話方式及腔調。,,腔口,口音、腔調。帶有各民族或地方特色的語音。
,大面神,厚臉皮。不知羞恥的樣子。,,皮皮,厚臉皮、不在乎。
,大面神,厚臉皮。不知羞恥的樣子。,,厚面皮,厚臉皮。形容人無羞恥之心。
,大面神,厚臉皮。不知羞恥的樣子。,,激皮皮,不在乎，不知羞恥的樣子。
,乞食琴,月琴。弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，俗稱為「乞食琴」。,,月琴,弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，因為過去有人行乞時會彈奏月琴伴唱，故俗稱為「乞食琴」(khit-tsia̍h-khîm)。
,大厝,棺材。,,棺木,棺材、棺木。裝殮屍體的容器，大多用木材製成。
,大厝,棺材。,,棺柴,棺材、棺木。裝殮屍體的容器，大多用木材製成。
,大厝,棺材。,,壽板,棺材、壽材。裝殮屍體的器具，大多用木材製成。
,大哥,稱謂。兄弟中排行最大的、最年長的。,,大兄,大哥、長兄。
,大哥,稱謂。兄弟中排行最大的、最年長的。,,大的,大哥，兄長，表示自己的親大哥，或至交兄長，是比較俚俗的用法。
,大哥,老大。團體中的領導人。,,大的,老大、大哥，對團體領導者的敬稱，通常用於下對上的稱呼語。
,低厝仔,簡陋又低矮的房子。,,平階,平房。
